contour_index,point_index,row,column
0,95,14.295582,36.091164
0,96,15.471119,35.445766
0,97,16.237373,34.994949
0,98,17.421312,34.353352
0,99,18.079485,33.776073
0,100,19.347868,33.232117
0,101,20.507458,32.512939
0,102,21.243809,32.064476
0,103,22.439358,31.389036
0,104,23.147375,30.856459
0,105,24.386492,30.295929
0,106,25.542315,29.577059
0,107,26.316545,29.174969
0,108,27.482115,28.467770
0,109,28.217972,28.004017
0,110,29.419571,27.358641
0,111,30.098642,26.744814
0,112,31.338978,26.227247
0,113,32.495323,25.492147
0,114,33.208328,25.019051
0,115,34.406216,24.340937
0,116,35.535805,23.550749
0,117,36.148552,23.079517
0,118,36.971725,22.086388
0,119,37.394421,21.453144
0,120,37.683414,20.545349
0,121,37.909107,19.559093
0,122,38.086613,18.466482
0,123,38.172546,17.486357
0,124,38.222256,16.494360
0,125,38.246601,15.494906
0,126,38.266376,14.494101
0,127,38.294003,13.493820
0,128,38.330612,12.494993
0,129,38.365932,11.496057
0,130,38.393993,10.496851
0,131,38.409603,9.498657
0,132,38.416122,8.499578
0,133,38.414909,7.499570
0,134,38.415703,6.500000
0,135,38.417999,5.500408
0,136,38.419262,4.500792
0,137,38.412647,3.500852
0,138,38.404446,2.500000
0,139,38.398643,1.499493
0,140,38.398724,0.501003
0,141,38.398262,-0.499501
0,142,38.396549,-1.499493
0,143,38.391899,-2.498418
0,144,38.382053,-3.497699
0,145,38.366837,-4.498042
0,146,38.354122,-5.500000
0,147,38.352684,-6.500733
0,148,38.358406,-7.500000
0,149,38.363438,-8.500000
0,150,38.366951,-9.501330
0,151,38.371017,-10.501296
0,152,38.378437,-11.498791
0,153,38.382744,-12.500000
0,154,38.379932,-13.498823
0,155,38.365677,-14.497366
0,156,38.341618,-15.496060
0,157,38.307480,-16.492260
0,158,38.261047,-17.485518
0,159,38.187107,-18.470818
0,160,38.067997,-19.445406
0,161,37.809414,-20.571131
0,162,37.497829,-21.499065
0,163,36.677834,-22.675076
0,164,35.568188,-23.597059
0,165,34.436691,-24.397734
0,166,33.701260,-24.826530
0,167,32.535431,-25.560200
0,168,31.833763,-26.075453
0,169,30.609125,-26.689590
0,170,29.453371,-27.410751
0,171,28.654072,-27.799488
0,172,27.488672,-28.478848
0,173,26.722363,-28.902723
0,174,25.550499,-29.591627
0,175,24.853785,-30.135107
0,176,23.608105,-30.696865
0,177,22.454903,-31.421648
0,178,21.682480,-31.835930
0,179,20.516375,-32.529205
0,180,19.774364,-32.991302
0,181,18.571169,-33.629601
0,182,17.923901,-34.223732
0,183,16.643719,-34.759621
0,184,15.483499,-35.470699
0,185,14.736779,-35.908508
0,186,13.561774,-36.607948
0,187,12.910254,-37.186939
0,188,11.646825,-37.758472
0,189,10.480592,-38.463810
